order_date,daily_orders,dayofweek,is_weekend,month,year,lag_15,lag_30,lag_90,lag_180,lag_360,rolling_mean_15,rolling_std_15,rolling_mean_30,rolling_std_30,rolling_mean_90,rolling_std_90,rolling_mean_180,rolling_std_180,rolling_mean_360,rolling_std_360,ewma_15,ewma_30,ewma_90,ewma_180,ewma_360,momentum_15,momentum_30,momentum_90,momentum_180,momentum_360,is_high_short,is_high_long,is_peak_long,volatility_30,trend_15_30,trend_30_90,trend_90_180,trend_180_360
2017-07-18,187,1,0,7,2017,111.0,86.0,93.0,27.0,,128.86666666666667,28.975030301146933,112.33333333333333,33.19673159372388,107.93333333333334,27.00886246559441,86.7611111111111,31.933653967903144,78.9656862745098,37.17266063307125,130.60181265130188,120.26307236608582,105.13295231420285,86.70732522981315,62.29876946109499,76.0,101.0,94.0,160.0,,1,1,1,33.19673159372388,1.1471810089020773,1.0407659048795552,1.2440289428187232,1.0987191425083285
2017-07-19,148,2,0,7,2017,119.0,152.0,89.0,27.0,,130.8,29.23598565369157,112.2,33.0395791907743,108.58888888888889,27.259013330278957,87.43333333333334,31.94217890651936,79.30243902439024,37.39359077805849,132.77658606988916,122.05255156827384,106.07508523037421,87.3845923543456,62.77356852225236,29.0,-4.0,59.0,121.0,,1,1,1,33.0395791907743,1.1657754010695187,1.0332548859101607,1.2419621298767314,1.102530192122368
2017-07-20,137,3,0,7,2017,136.0,90.0,65.0,22.0,,130.86666666666667,29.2498270243156,113.76666666666667,33.064913514889525,109.38888888888889,27.020880167820163,88.07222222222222,31.77575593790339,79.58252427184466,37.51826203053775,133.30451281115302,123.01690307999812,106.7547536868495,87.93282890291636,63.1847952894421,1.0,47.0,72.0,115.0,,1,1,1,33.064913514889525,1.150307647231175,1.0400203148806502,1.2420362076578566,1.106677917395253
2017-07-21,112,4,0,7,2017,139.0,33.0,75.0,30.0,,129.06666666666666,29.54286635350325,116.4,29.34761930073182,109.8,26.7721136150236,88.52777777777777,31.525360998656204,79.73913043478261,37.494848386823286,130.6414487097589,122.30613513935307,106.87003382560006,88.19876449514933,63.45523963686902,-27.0,79.0,37.0,82.0,,0,1,0,29.34761930073182,1.108820160366552,1.0601092896174864,1.2402886727329778,1.1102174966678782
2017-07-22,86,5,1,7,2017,112.0,83.0,84.0,36.0,,127.33333333333333,31.324720194091068,116.5,29.234780891826446,109.82222222222222,26.751279619830875,88.80555555555556,31.2792606647652,79.76923076923077,37.40669055070429,125.06126762103904,119.96380384003997,106.41135176349896,88.17446875487144,63.580141356332355,-26.0,3.0,2.0,50.0,,0,0,0,29.234780891826446,1.0929899856938483,1.060805341966815,1.2366593681576479,1.1132808314582663
2017-07-23,96,6,1,7,2017,82.0,101.0,107.0,38.0,,128.26666666666668,30.0605737676129,116.33333333333333,29.3402551916755,109.7,26.78942018237548,89.12777777777778,31.05087383607524,79.8468899521531,37.33354727721879,121.42860916840915,118.41775197939224,106.18253084561987,88.26093871338115,63.759752761560435,14.0,-5.0,-11.0,58.0,,0,1,0,29.3402551916755,1.1025787965616047,1.060467942874506,1.2308171788318893,1.1162335543837223
2017-07-24,156,0,0,7,2017,85.0,72.0,103.0,55.0,,133.0,28.299419479154434,119.13333333333334,28.969345669271583,110.28888888888889,27.21955858455605,89.68888888888888,31.341922036959165,80.20952380952382,37.61303735035932,125.75003302235801,120.84241314201209,107.27742027758427,89.00943662815041,64.27077906205041,71.0,84.0,53.0,101.0,,1,1,1,28.969345669271583,1.1163961947397874,1.0801934313923032,1.2296828543111993,1.118182537797831
2017-07-25,144,1,0,7,2017,139.0,97.0,119.0,81.0,,133.33333333333334,28.40439268510289,120.7,29.001961883697543,110.56666666666666,27.436156739405302,90.03888888888889,31.595092591310884,80.51184834123222,37.779480471052054,128.03127889456326,122.33645100381776,108.08450994181318,89.617067162646,64.71249219744072,5.0,47.0,25.0,63.0,,1,1,1,29.001961883697543,1.1046672190002762,1.0916490804944228,1.2279879064601715,1.1183309133244383
2017-07-26,117,2,0,7,2017,157.0,65.0,72.0,57.0,,130.66666666666666,27.896919099393344,122.43333333333334,27.046171675467253,111.06666666666666,27.133792522041865,90.37222222222222,31.561066206040536,80.68396226415095,37.77307056694545,126.65236903274285,121.99216384228113,108.28045477825684,89.91964100615267,65.00217368111142,-40.0,52.0,45.0,60.0,,0,1,0,27.046171675467253,1.0672474816226516,1.10234093637455,1.228991209196533,1.1200766507518918
2017-07-27,117,3,0,7,2017,143.0,140.0,93.0,27.0,,128.93333333333334,27.883601598345212,121.66666666666667,26.856365499003928,111.33333333333333,27.072105134335157,90.87222222222222,31.262991588759284,80.85446009389672,37.76594304489606,125.44582290365,121.67008875568236,108.47209313477866,90.21887149227254,65.29025028121606,-26.0,-23.0,24.0,90.0,,0,1,0,26.856365499003928,1.0597260273972602,1.0928143712574852,1.225163538546188,1.1238986954670382
